City,Country,Latitude,Temperature,Humidity,Wind Speed,Cloudiness,Date
Morros,BR,-2.87,80.6,83,8.05,100,1577517417
New Norfolk,AU,-42.78,74.48,53,16.11,42,1577517417
Akcakoca,TR,41.09,39.06,88,1.79,100,1577517417
Oranjemund,ZA,-28.55,63.01,78,2.77,15,1577517417
Marzuq,YE,14.4,66.99,20,2.64,32,1577517417
Vieste,IT,41.88,42.8,60,3.36,40,1577517417
Geghamasar,AM,40.31,27.43,86,4.76,53,1577517417
Seymour,US,33.59,58.51,87,11.01,100,1577517417
Luena,AO,-11.78,66.13,95,5.19,100,1577517417
Saint-Joseph,FR,43.56,37.8,86,4.7,8,1577517187
Bluff,AU,-23.58,85.15,47,16.55,100,1577517418
Torbay,CA,47.66,19.63,85,5.82,75,1577517418
Tiznit,MA,29.7,55.47,24,5.3,0,1577517418
Hithadhoo,MV,-0.6,81.72,82,12.28,100,1577517418
Puerto Ayora,EC,-0.74,73.99,88,3.0,53,1577517418
Arandis,NA,-22.42,63.0,88,5.01,55,1577517418
Clyde River,CA,70.47,-4.0,83,6.93,1,1577517419
Jalu,LY,29.03,53.33,74,9.62,32,1577517419
Arraial do Cabo,BR,-22.97,75.42,88,15.19,0,1577517419
Mangochi,MW,-14.48,74.75,79,8.3,100,1577517419
Aklavik,CA,68.22,-25.6,67,2.24,5,1577517188
Karla,EE,59.37,28.98,79,9.17,90,1577517419
Namibe,AO,-15.19,73.0,88,6.06,100,1577517419
Makakilo City,US,21.35,74.68,100,4.7,90,1577517419
Hofn,IS,64.25,45.0,89,28.86,61,1577517420
Mahebourg,MU,-20.41,83.46,74,14.99,40,1577517420
Kavieng,PG,-2.57,84.04,71,11.25,32,1577517225
Jimenez,PA,8.54,68.0,84,2.17,68,1577517420
Baracoa,CU,20.35,78.33,77,12.24,10,1577517420
Elizabeth City,US,36.3,49.15,87,5.99,20,1577517420
Mazyr,BY,52.05,37.76,95,11.59,100,1577517420
Asadabad,IR,34.78,39.2,81,7.25,20,1577517421
Iqaluit,CA,63.75,-0.4,70,10.29,90,1577517421
Springfield,US,42.1,39.15,75,12.75,1,1577517246
Pisco,PE,-13.71,68.61,88,0.27,75,1577517421
Kayes,ML,14.44,64.4,39,6.93,0,1577517421
Ostersund,SE,63.18,15.19,85,9.17,100,1577517421
Azle,US,32.9,60.12,93,13.87,90,1577517291
Malumfashi,NG,11.79,55.56,20,10.33,0,1577517421
Port Blair,IN,11.67,80.19,75,8.99,65,1577517228
Pangnirtung,CA,66.15,-4.86,81,3.22,0,1577517422
Sovetskiy,RU,56.76,11.95,91,10.56,91,1577517422
Sevierville,US,35.87,46.78,93,2.93,90,1577517422
Kapaa,US,22.08,72.54,83,21.92,90,1577517422
Saint-Philippe,CA,45.36,36.52,80,10.92,90,1577517212
Nishihara,JP,35.74,48.74,39,10.29,40,1577517422
Nanortalik,GL,60.14,32.68,77,5.46,100,1577517423
Yaguajay,CU,22.33,76.42,79,11.25,1,1577517423
Constitucion,MX,23.99,54.82,58,8.05,40,1577517423
Puerto Escondido,MX,15.86,68.22,88,2.35,0,1577517423
Kapit,MY,2.02,88.56,58,2.86,70,1577517423
Alofi,NU,-19.06,77.0,78,5.82,75,1577517423
Chuy,UY,-33.69,72.18,76,8.95,2,1577517423
Ancud,CL,-41.87,44.6,93,6.93,4,1577517423
Lososina,RU,49.0,4.93,69,8.05,0,1577517424
Udachnyy,RU,66.42,-29.2,66,2.24,90,1577517424
Vuktyl,RU,63.86,-1.35,99,5.97,80,1577517424
Sanda,JP,34.89,49.75,61,5.82,75,1577517424
Namatanai,PG,-3.66,81.32,80,19.55,85,1577517424
Pevek,RU,69.7,-20.36,97,8.9,24,1577517424
Severo-Kurilsk,RU,50.68,27.72,98,6.4,100,1577517424
Lima,PE,-12.06,68.0,94,8.05,40,1577517318
Talcahuano,CL,-36.72,60.8,93,7.49,64,1577517425
Cherskiy,RU,68.75,-21.21,89,9.37,0,1577517270
Rovaniemi,FI,66.5,14.0,92,12.75,90,1577517425
Mount Gambier,AU,-37.83,87.8,31,12.75,0,1577517425
Cubuk,TR,40.24,35.56,91,1.5,75,1577517425
Oxapampa,PE,-10.58,52.79,97,3.15,82,1577517425
Salalah,OM,17.01,77.0,61,16.11,75,1577517425
Dikson,RU,73.51,-7.94,97,4.41,100,1577517426
Narsaq,GL,60.91,26.6,53,4.7,100,1577517426
Cidreira,BR,-30.17,73.62,89,27.2,21,1577517186
Georgetown,GY,6.8,77.0,94,2.24,20,1577517426
Avarua,CK,-21.21,75.2,69,4.7,24,1577517426
Zhigansk,RU,66.77,-25.74,94,11.34,100,1577517426
Collie,AU,-33.36,83.62,31,8.93,0,1577517427
Yangambi,CD,0.77,77.43,74,1.23,23,1577517427
Mansa,IN,23.43,68.0,28,11.41,0,1577517427
Halifax,CA,44.65,39.94,100,10.29,90,1577517367
Mogadishu,SO,2.04,82.4,65,12.75,75,1577517427
Hobyo,SO,5.35,83.19,64,14.05,4,1577517427
Vacaville,US,38.36,40.03,55,1.72,1,1577517415
Naryan-Mar,RU,67.67,16.02,92,9.89,52,1577517428
Cayenne,GF,4.94,78.8,88,3.36,100,1577517428
Manono,CD,-7.3,69.44,98,1.3,100,1577517428
Ambon,FR,47.55,49.75,93,4.7,90,1577517428
Ocean City,US,30.44,65.53,88,3.36,90,1577517428
Siniscola,IT,40.57,44.6,93,2.24,40,1577517428
Hobart,AU,-42.88,74.53,53,16.11,32,1577517428
Port Lincoln,AU,-34.72,77.22,39,14.7,0,1577517188
Bathsheba,BB,13.22,78.8,78,10.29,20,1577517429
Fairbanks,US,64.84,-31.04,65,5.14,0,1577517429
Vila Velha,BR,-3.71,82.26,74,13.87,40,1577517429
Hamilton,CA,43.26,37.4,83,6.93,90,1577517165
Yerbogachen,RU,61.28,-20.92,95,6.55,95,1577517429
Traismauer,AT,48.35,33.51,74,13.87,67,1577517429
Newport,GB,51.59,45.48,93,6.93,40,1577517206
Talnakh,RU,69.49,-7.6,76,29.08,75,1577517429
Tena,EC,-0.99,60.96,92,4.41,85,1577517429
Thompson,CA,55.74,10.4,85,2.24,90,1577517430
Codrington,AU,-28.95,80.13,39,12.75,13,1577517430
Qaqortoq,GL,60.72,26.6,53,4.7,100,1577517430
Saint-Leu,RE,-21.15,83.68,66,17.22,41,1577517370
Matara,BI,-3.48,64.13,87,1.7,100,1577517430
Jawa,ID,5.32,80.22,79,7.94,10,1577517430
Kuchera,IN,26.99,63.54,15,4.16,0,1577517430
Upernavik,GL,72.79,-1.53,59,3.49,5,1577517430
Ponta Delgada,PT,37.73,66.2,88,23.04,75,1577517430
Plaster Rock,CA,46.91,32.27,86,6.93,90,1577517431
Mufumbwe,ZM,-13.68,68.27,92,3.62,100,1577517431
Kaitangata,NZ,-46.28,52.0,68,5.99,99,1577517431
Victoria,BN,5.28,86.0,70,8.05,75,1577517240
Oussouye,SN,12.49,67.08,94,4.7,0,1577517431
Khani,GE,41.96,48.2,93,5.82,75,1577517431
Tongchuan,CN,34.9,50.0,29,4.47,0,1577517432
Te Anau,NZ,-45.41,49.28,63,10.25,100,1577517432
Wattegama,LK,7.35,86.22,50,3.98,32,1577517432
Port Augusta,AU,-32.49,108.0,13,1.99,36,1577517432
Marsa Matruh,EG,31.35,51.8,76,11.41,40,1577517432
San Patricio,PY,-26.98,77.76,68,6.04,13,1577517432
Inuvik,CA,68.36,-25.6,67,2.24,5,1577517432
Ulaangom,MN,49.98,-0.38,86,0.78,32,1577517432
Pangkalanbuun,ID,-2.68,87.82,67,3.38,85,1577517432
Port Hardy,CA,50.7,42.8,87,14.99,90,1577517433
Lata,IN,30.78,31.98,16,5.44,0,1577517433
Pecos,US,31.42,59.07,50,9.17,1,1577517433
Sur,OM,22.57,72.54,50,7.7,13,1577517433
Muroto,JP,33.37,53.6,46,6.93,20,1577517433
Batagay-Alyta,RU,67.8,-34.71,77,3.44,14,1577517433
Boralday,KZ,43.36,32.0,82,4.47,90,1577517239
Teguldet,RU,57.31,-16.85,93,2.89,0,1577517434
Egvekinot,RU,66.32,-12.3,92,10.45,1,1577517434
Brodokalmak,RU,55.57,10.4,78,4.47,100,1577517434
Bolitoc,PH,15.74,84.09,66,3.69,32,1577517434
Leningradskiy,RU,69.38,-15.45,96,9.93,90,1577517434
Longyearbyen,NO,78.22,19.4,79,9.17,75,1577517434
Shafter,US,35.5,39.88,80,4.94,1,1577517434
The Valley,AI,18.22,77.67,88,4.7,20,1577517272
Haines Junction,CA,60.75,2.95,96,5.5,100,1577517435
Aspe,ES,38.35,44.69,100,1.12,75,1577517435
Kaeo,NZ,-35.1,64.0,76,14.47,1,1577517435
Tiszanana,HU,47.57,34.48,80,6.93,100,1577517435
Areosa,PT,41.72,43.72,56,14.99,5,1577517435
Kautokeino,NO,69.01,10.11,82,21.61,100,1577517435
Tamandare,BR,-8.28,71.76,93,1.61,79,1577517435
Toropets,RU,56.5,28.08,85,10.78,100,1577517435
Bredasdorp,ZA,-34.53,69.93,56,21.92,55,1577517436
Ambilobe,MG,-13.19,83.73,73,2.15,100,1577517436
Kysucke Nove Mesto,SK,49.3,29.03,92,2.24,75,1577517436
Qaanaaq,GL,77.48,-3.91,50,7.34,10,1577517186
Alekseyevsk,RU,57.84,-20.83,94,2.17,80,1577517436
Ingham,AU,-18.65,86.34,53,6.82,29,1577517436
Port Hedland,AU,-20.31,95.0,63,19.46,54,1577517436
Maniitsoq,GL,65.42,15.69,54,2.28,0,1577517436
Novoagansk,RU,61.94,-0.56,84,16.08,100,1577517436
Sosva,RU,59.17,6.91,95,2.82,100,1577517437
Sabang,PH,13.8,84.0,81,1.01,47,1577517437
Cockburn Town,TC,21.46,78.85,78,19.84,12,1577517437
Mentakab,MY,3.49,85.96,58,4.03,91,1577517437
Dalnerechensk,RU,45.93,-4.81,94,0.72,41,1577517437
Darlowo,PL,54.42,36.3,68,18.1,94,1577517437
Moree,AU,-29.46,95.0,11,5.82,0,1577517437
Beloha,MG,-25.17,88.83,47,6.17,5,1577517437
Cabra,ES,37.47,43.16,93,1.12,1,1577517236
Celestun,MX,20.87,75.04,74,7.18,4,1577517438
Klaebu,NO,63.3,32.14,74,11.41,75,1577517438
Phek,IN,25.7,58.42,56,1.99,73,1577517438
Vadinsk,RU,53.69,19.17,94,5.61,100,1577517438
Acapulco,MX,16.86,77.0,94,2.46,20,1577517438
La Asuncion,AR,-26.05,66.07,77,6.85,96,1577517438
Sao Joao da Barra,BR,-21.64,74.8,88,7.34,0,1577517439
Pauini,BR,-7.71,73.53,97,1.5,100,1577517439
Mitrofanovka,RU,49.97,37.09,93,2.93,100,1577517439
Santa Rosa,AR,-36.62,75.06,84,9.33,51,1577517439
Katobu,ID,-4.94,85.69,76,4.09,87,1577517439
Deputatskiy,RU,69.3,-30.77,78,1.74,0,1577517439
Belokurikha,RU,52.0,7.03,86,3.91,0,1577517439
Sola,TZ,-3.17,70.92,72,4.34,99,1577517439
Mokhsogollokh,RU,61.4,-39.91,97,1.61,60,1577517440
Luancheng,CN,37.88,42.8,35,4.47,0,1577517440
Nemuro,JP,43.32,19.4,57,2.24,20,1577517440
Ahipara,NZ,-35.17,64.0,76,19.57,4,1577517440
Narayanpet,IN,16.73,78.57,52,9.53,34,1577517440
Araouane,ML,18.9,60.82,15,8.9,0,1577517440
Brae,GB,60.4,48.2,93,17.22,100,1577517296
Port Hawkesbury,CA,45.62,35.2,100,17.22,90,1577517440
Campinas,BR,-22.91,71.28,83,11.41,9,1577517440
Homer,US,59.64,10.27,85,5.82,90,1577517441
Touros,BR,-5.2,73.4,88,4.7,40,1577517441
Sao Filipe,CV,14.9,71.01,67,8.23,0,1577517441
Klaksvik,FO,62.23,46.4,100,11.41,87,1577517441
Manglaur,IN,29.79,56.97,34,4.12,0,1577517441
Mbandaka,CD,0.05,75.63,82,1.86,100,1577517441
Barao de Melgaco,BR,-16.19,75.2,88,6.93,41,1577517441
Souillac,FR,45.6,41.47,93,6.93,41,1577517229
Mayumba,GA,-3.44,79.41,82,3.15,36,1577517442
Gat,SN,14.69,65.21,88,12.75,0,1577517442
Gisborne,NZ,-38.66,62.01,60,1.99,50,1577517442
Murgab,TM,37.5,48.2,42,9.17,0,1577517276
Burgersdorp,ZA,-30.99,60.98,46,3.91,0,1577517442
Sao Miguel do Araguaia,BR,-13.28,72.59,94,1.86,99,1577517230
Gejiu,CN,23.36,54.41,85,8.79,52,1577517442
Zheleznodorozhnyy,RU,55.75,28.44,92,6.71,90,1577517413
Ponta do Sol,BR,-20.63,64.29,95,2.68,49,1577517185
Sanary-sur-Mer,FR,43.12,37.31,86,2.24,20,1577517443
Coihaique,CL,-45.58,51.8,50,9.17,7,1577517443
Rawson,AR,-43.3,63.72,52,16.75,23,1577517443
Orange Cove,US,36.62,39.34,100,4.7,40,1577517443
Soldotna,US,60.48,11.88,84,9.17,90,1577517443
Vostok,RU,46.45,-1.55,90,3.44,28,1577517444
Iskateley,RU,67.68,16.02,92,9.89,52,1577517444
Belmonte,PT,40.36,39.78,93,4.0,0,1577517444
Sanming,CN,26.24,68.5,41,1.12,0,1577517444
Le Port,FR,42.87,40.06,68,123.99,37,1577517444
Port Moresby,PG,-9.47,89.6,66,17.22,40,1577517444
Tanout,NE,14.97,54.77,25,10.76,0,1577517444
Kanniyakumari,IN,8.08,80.22,72,25.3,47,1577517444
Paamiut,GL,61.99,20.21,49,4.56,0,1577517445
Mulchen,CL,-37.72,57.13,71,2.98,88,1577517445
Ankazoabo,MG,-22.29,89.37,45,4.16,33,1577517445
Gizo,IL,31.8,51.91,81,11.41,75,1577517445
San Policarpo,PH,12.18,82.71,69,11.86,0,1577517445
Antofagasta,CL,-23.65,64.4,88,8.05,75,1577517445
Saint George,GR,39.45,40.51,60,5.82,40,1577517320
Brazzaville,CD,-4.27,76.15,94,0.98,75,1577517445
Komsomolskiy,RU,67.55,-7.98,99,5.64,98,1577517445
Agadez,NE,16.97,53.6,40,11.41,15,1577517265
Itoman,JP,26.12,67.57,52,10.29,75,1577517446
Kondinskoye,RU,59.65,3.16,93,6.11,100,1577517446
Mayo,CA,63.59,-16.6,75,3.22,90,1577517446
Jaisalmer,IN,26.91,66.9,12,7.27,0,1577517446
San Francisco,CO,1.17,50.07,91,3.56,8,1577517226
Barinas,VE,8.64,76.64,87,5.46,65,1577517446
Abu Samrah,SY,35.3,48.06,80,5.17,41,1577517447
Qasigiannguit,GL,68.82,6.8,60,2.24,94,1577517447
Adeje,NG,5.68,73.72,96,2.3,89,1577517447
Quixeramobim,BR,-5.2,75.36,79,7.78,44,1577517447
Tilichiki,RU,60.47,-20.7,92,10.2,18,1577517267
Saint Anthony,US,43.97,10.72,85,5.82,90,1577517447
Petatlan,MX,17.52,78.39,81,6.02,0,1577517447
Flinders,AU,-34.58,80.29,51,8.05,0,1577517447
Qusar,AZ,41.43,41.43,86,0.34,100,1577517448
Yeppoon,AU,-23.13,82.4,51,12.75,40,1577517448
Goderich,CA,43.74,34.57,85,8.01,100,1577517262
Haapiti,PF,-17.57,77.0,78,6.93,75,1577517448
Sidrolandia,BR,-20.93,71.6,88,8.05,75,1577517448
Tazovskiy,RU,67.47,-2.42,97,7.43,100,1577517448
Koulikoro,ML,12.86,57.2,54,3.36,0,1577517448
Maningrida,AU,-12.05,91.74,59,11.5,73,1577517448
Mayahi,NE,13.95,55.51,21,11.27,0,1577517449
Pirapora,BR,-17.35,66.04,92,1.59,3,1577517449
Honiara,SB,-9.43,87.8,66,4.7,40,1577517449
Kathu,ZA,-27.7,88.0,28,14.12,61,1577517449
Cangucu,BR,-31.39,73.0,90,3.0,0,1577517449
Alekseyevskaya,RU,45.77,39.38,89,5.14,83,1577517450
Nabire,ID,-3.36,79.81,91,2.51,86,1577517450
Beringovskiy,RU,63.05,-15.18,91,20.18,47,1577517450
Tianpeng,CN,28.88,51.1,70,7.81,97,1577517450
Pacific Grove,US,36.62,40.86,70,4.7,1,1577517261
Oranjestad,AW,12.52,80.6,83,18.34,40,1577517450
Berlevag,NO,70.86,26.53,78,29.46,100,1577517450
Warud,IN,21.47,64.27,23,6.89,0,1577517361
Litovko,RU,49.24,-11.7,94,4.54,100,1577517450
Port-Cartier,CA,50.03,21.2,85,2.24,90,1577517451
Do Gonbadan,IR,30.36,62.6,42,2.91,40,1577517451
Sitka,US,37.17,45.14,97,15.35,100,1577517211
Brownsville,US,25.91,65.3,93,5.82,1,1577517451
Isangel,VU,-19.55,84.2,79,17.22,75,1577517210
Letpadan,MM,17.78,84.83,44,3.98,31,1577517451
La Sarre,CA,48.8,20.64,92,8.55,80,1577517451
Basco,US,40.33,36.57,86,11.41,90,1577517286
Jining,CN,35.41,51.42,41,10.11,58,1577517452
Mugur-Aksy,RU,50.38,-8.57,74,2.62,4,1577517452
Klyuchi,RU,52.25,1.11,84,10.49,1,1577517209
Corner Brook,CA,48.95,24.37,85,3.36,75,1577517452
Mirabad,IR,28.27,52.83,25,10.45,10,1577517452
Ariquemes,BR,-9.91,73.22,95,0.72,100,1577517452
Grindavik,IS,63.84,41.0,93,11.41,75,1577517452
Umm Kaddadah,SD,13.6,58.33,35,15.59,22,1577517452
Ust-Kut,RU,56.78,-22.27,90,2.26,0,1577517453
Shahreza,IR,32.01,43.14,40,14.05,0,1577517453
Foumban,CM,5.73,63.84,47,0.69,86,1577517453
Coquimbo,CL,-29.95,57.2,87,1.12,51,1577517453
Roald,NO,62.58,44.29,65,13.87,75,1577517453
Tarsus,TR,36.92,48.15,76,8.05,75,1577517453
Portland,US,43.66,34.43,81,4.7,50,1577516728
Lorengau,PG,-2.02,82.09,75,11.25,68,1577517289
Beira,ES,43.2,35.82,100,5.82,35,1577517454
Reconquista,AR,-29.14,80.19,59,7.11,0,1577517454
Maputo,MZ,-25.97,75.76,57,13.87,75,1577517454
Banda Aceh,ID,5.56,87.87,52,7.65,2,1577517454
Baturaja,ID,-4.12,86.41,64,4.52,51,1577517454
Neiafu,TO,-18.65,80.6,65,12.75,75,1577517454
Tabou,CI,4.42,74.68,93,2.55,0,1577517454
Bolshaya Martynovka,RU,47.27,39.81,90,3.06,99,1577517455
Tanete,ID,-3.94,94.32,50,6.51,80,1577517455
Sambava,MG,-14.27,81.41,79,3.65,84,1577517455
Bac,RS,45.39,35.82,74,14.99,45,1577517455
Kimbe,PG,-5.56,76.23,92,2.37,100,1577517455
Marawi,PH,8.0,82.99,82,10.0,15,1577517455
Mandera,ET,3.94,83.66,35,13.15,0,1577517455
Yumen,CN,40.29,24.24,49,18.59,10,1577517455
Kalmunai,LK,7.42,80.56,70,12.75,87,1577517456
Shaowu,CN,27.34,58.3,50,3.65,55,1577517456
Saint-Augustin,CA,45.63,36.34,88,6.93,90,1577517456
Alihe,CN,50.57,-5.55,76,1.23,0,1577517456
Havelock,US,34.88,51.96,87,3.36,20,1577517456
Kailua,US,21.39,74.7,83,13.87,75,1577517194
Williams Lake,CA,52.13,21.2,92,9.17,75,1577517456
Alta Floresta,BR,-9.87,71.74,97,1.83,81,1577517457
Paldiski,EE,59.35,29.16,86,8.05,90,1577517457
Nelson Bay,AU,-32.72,83.7,33,18.34,0,1577517457
Vero Beach,US,27.64,70.99,78,16.11,90,1577517457
Jiexiu,CN,37.02,45.57,14,5.66,0,1577517457
Ketchikan,US,55.34,44.6,93,20.8,90,1577517217
Anloga,GH,5.79,75.2,88,3.36,20,1577517457
Sal,SY,36.63,43.39,84,2.93,43,1577517458
Broome,GB,52.47,44.33,93,6.93,75,1577517458
Santa Isabel do Rio Negro,BR,-0.41,74.59,92,1.57,100,1577517458
Sibolga,ID,1.74,81.07,88,0.4,71,1577517220
Chara,GR,39.42,40.48,60,5.82,40,1577517458
Karia,NG,11.73,56.84,29,10.33,0,1577517458
West Wendover,US,40.74,28.4,63,23.04,90,1577517458
Los Llanos de Aridane,ES,28.66,67.57,34,8.05,100,1577517458
Lieksa,FI,63.32,13.89,95,3.06,38,1577517459
Mount Pleasant,US,33.16,62.96,93,5.82,90,1577517439
Khromtau,KZ,50.26,20.75,96,3.8,100,1577517459
Tocopilla,CL,-22.09,56.79,29,2.15,67,1577517459
Baringo,KE,0.47,78.22,50,4.68,12,1577517459
Makungu,TZ,-8.74,63.84,93,7.4,100,1577517459
Jacareacanga,BR,-6.22,73.83,95,0.51,43,1577517459
Skvyra,UA,49.73,33.78,98,7.31,100,1577517459
Zaragoza,SV,13.59,66.34,88,1.12,0,1577517459
Santa Lucia,IT,41.98,41.04,80,4.7,0,1577517460
Novogornyy,RU,55.63,10.4,78,4.47,100,1577517460
Denpasar,ID,-8.65,91.4,63,11.41,20,1577517433
Ayan,IR,38.23,46.4,65,6.24,40,1577517460
Kushnarenkovo,RU,55.11,26.01,92,7.0,100,1577517460
Lazaro Cardenas,MX,28.39,54.0,40,3.0,100,1577517460
Syava,RU,58.01,16.07,89,8.16,44,1577517460
Ishigaki,JP,24.34,69.8,73,14.99,75,1577517461
Bara,NG,10.41,57.45,28,4.97,3,1577517461
